"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/29 7:41:08 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 7:42:03 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 7:49:27 AM GMT+1","Sometimes","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/29 7:53:05 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 8:00:36 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer","Yes","Unsure"
"2019/10/29 8:05:52 AM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","Yes","Yes"
"2019/10/29 8:15:57 AM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;Book","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 8:47:06 AM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 9:00:02 AM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 9:05:38 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 9:08:27 AM GMT+1","Sometimes","If information is easy to find or I've thought about it before","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 9:12:35 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 9:16:24 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 9:56:03 AM GMT+1","Sometimes","Complexity of the product/device as well as actual purchase cost","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/29 10:14:26 AM GMT+1","No","","Maybe","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/29 11:17:07 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","No","Yes"
"2019/10/29 11:31:04 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 11:42:30 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 11:47:42 AM GMT+1","No","","Maybe","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/29 12:08:25 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video;Forums specific to device","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 12:58:51 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 1:37:36 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;Book","Mobile phone / tablet","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 2:22:01 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 2:32:06 PM GMT+1","Sometimes","If second hand","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","No"
"2019/10/29 2:37:23 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/29 2:48:02 PM GMT+1","Sometimes","Cost if warranty had expired ","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools","Yes","Yes"
"2019/10/29 2:49:55 PM GMT+1","Sometimes","Some element of chance, however higher priced items especially for long term use more likely to consider it as part of purchase. Laptop I'd generally consider it carefully, Washing machine I might check standard parts are available. Toaster I'd probably not consider it at purchase - if it broke, it's a bonus if I can fix it otherwise £20 on new toaster not the end of the world","Yes","Yes","Websites;Youtube/Online Video;Ask manufacturer for instructions / search for official literature","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/29 2:57:06 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 3:02:58 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/29 3:06:28 PM GMT+1","No","","Maybe","Yes","Websites;Just see if I can work it out.","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 3:07:15 PM GMT+1","No","","No","Yes","Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts;Not interested in self repair","Yes","Yes"
"2019/10/29 3:08:39 PM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video;take it apart to try and work it out myself","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 3:10:50 PM GMT+1","Sometimes","Intended use Vs future lifespan.","No","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/29 3:27:21 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 3:37:51 PM GMT+1","No","","Yes","Yes","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools","Yes","Yes"
"2019/10/29 4:17:58 PM GMT+1","Sometimes","If it was an area I had some knowledge about, or thought it would be practical to repair","No","Yes","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 4:51:37 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/29 5:50:52 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video;Specialist","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 5:58:06 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 6:07:11 PM GMT+1","Sometimes","if it made economic sense for me to have a go","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 6:39:01 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer","Maybe","Yes"
"2019/10/29 6:55:47 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video;Book;Local Repair Café","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 7:05:51 PM GMT+1","Sometimes","Depends if im buying second hand or not","Maybe","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 7:22:26 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video;Common sense / have a go before looking for instructions","Television;Mobile phone / tablet;Computer / laptop;All if I can't fix it without..","Design choices by the manufacturer","Yes","Yes"
"2019/10/29 7:34:23 PM GMT+1","Sometimes","I would for kitchen equipment and white goods as i have had good experience with repairing our Britannia oven and Miele washing machine as they appear to be engineered so they can be repaired. I would be less concerned about high-tech items (tablets, tvs etc) as i would not be confident in repairing them.","Yes","Yes","Websites;Youtube/Online Video;The device’s Instruction manual","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 9:32:15 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 9:51:40 PM GMT+1","Yes","","Maybe","Yes","Websites","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/29 10:06:20 PM GMT+1","No","Always buy second hand so if it breaks it is no great shakes.","Yes","Yes","Websites;Youtube/Online Video;Book;Ask friend who is ex electronics engineer","Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/29 10:45:54 PM GMT+1","No","","No","Yes","Websites","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","No"
"2019/10/30 9:31:40 AM GMT+1","Sometimes","Measured by the potential obsolescence of the device. Phones usually I'm covered by insurance, but I have also done repairs myself (e.g. screen replacement for HTC One S, attempted laptop fixes - upon failure, removal and backup of SSDs). White goods I'm more likely to be concerned with repairability and cost to do so (e.g. Miele repairs are costly, so off-putting). With a mobile phone I am likely to change in 2.5-3 years due to inevitable performance issues and repairs are less likely if I am a careful user.","No","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/30 9:50:10 AM GMT+1","Yes","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/30 11:41:42 AM GMT+1","No","","No","Yes","Websites","Mobile phone / tablet","Lack of skill","Yes","Yes"
"2019/10/30 7:46:49 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","No","Yes"
"2019/10/31 9:57:17 AM GMT+1","Yes","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of skill;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/31 10:06:25 AM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/31 10:29:49 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video;They aren't always available so you may just have to go for it","Mobile phone / tablet;Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/31 10:36:35 AM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Computer / laptop","Issues with sourcing replacement parts","Maybe","No"
"2019/10/31 11:09:31 AM GMT+1","No","","Yes","No","Youtube/Online Video","Mobile phone / tablet","Lack of access to appropriate tools","Yes","Yes"
"2019/10/31 11:30:37 AM GMT+1","Sometimes","Replacing laptop batteries","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of skill","Yes","Yes"
"2019/10/31 11:42:05 AM GMT+1","No","","Yes","Maybe","Websites","Mobile phone / tablet","Design choices by the manufacturer","No","Yes"
"2019/10/31 11:45:07 AM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/31 11:53:53 AM GMT+1","Sometimes","Laptops","Yes","Yes","Websites;Youtube/Online Video","Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/31 12:39:05 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer","Yes","Yes"
"2019/10/31 12:47:49 PM GMT+1","Sometimes","Simple electical/mnechanical repairs that don't require soldering.","Maybe","Yes","Websites;Youtube/Online Video;Dad","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/31 1:35:38 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Maybe","Unsure"
"2019/10/31 1:41:53 PM GMT+1","Sometimes","Working out repairability before you buy is often difficult.  A lot of kit looks repairable but once you get inside it the layout means its impossible to get to the broken component without breaking something else","Maybe","Yes","Websites;Youtube/Online Video;Book","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/31 1:52:27 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Issues with sourcing replacement parts","Yes","Yes"
"2019/10/31 1:53:11 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Lack of skill","Yes","Yes"
"2019/10/31 2:15:30 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer","Yes","No"
"2019/10/31 6:08:26 PM GMT+1","No","","Maybe","Maybe","Youtube/Online Video","Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/31 6:23:49 PM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Unsure"
"2019/10/31 9:03:30 PM GMT+1","Sometimes","No water","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer","Yes","No"
"2019/10/31 9:09:42 PM GMT+1","Sometimes","No water","No","Maybe","Websites;Youtube/Online Video","Computer / laptop","Design choices by the manufacturer","Yes","No"
"2019/11/01 7:50:15 AM GMT+1","No","","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/11/02 8:43:21 PM GMT+1","Yes","","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/11/07 1:42:14 PM GMT+1","No","","Maybe","Yes","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Maybe","Yes"
"2019/12/08 6:52:20 PM GMT+1","No","","Maybe","Yes","Websites","Computer / laptop","Issues with sourcing replacement parts","Yes","Yes"
"2019/12/25 4:21:57 AM GMT+1","No","","No","Maybe","Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts;Not interested in self repair","Yes","Unsure"
"2020/01/01 10:45:32 AM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Not interested in self repair","Maybe","Yes"
