"Timestamp","When purchasing an electronic device do you consider how easy it would be to repair? ","If you answered ""sometimes"" to the above question could you please detail under what circumstances you would ","Would you ever purchase a broken electronic device with the intent to repair it for use? ","If an electronic device you own breaks would you attempt a repair before finding a replacement? ","Where would you source your instructions for the repair of an electronic device if you were to attempt one? (may select more than 1)","When repairing, what device would you be most likely to use to view instructions on? (select all that apply) ","What would prevent you from attempting a repair on an electronic device? (may select more than 1)","Do you think that modern electronic devices are harder to repair than older items? ","Do you believe that the right to repair should be protected and that manufacturers should be made to make their products repair-friendly? "
"2019/10/28 3:22:49 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of access to appropriate tools","Yes","Yes"
"2019/10/28 3:24:13 PM GMT+1","No","","Yes","Yes","Youtube/Online Video;Take it apart and look at it","Mobile phone / tablet","Design choices by the manufacturer","No","No"
"2019/10/28 3:25:51 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Lack of skill","Maybe","Yes"
"2019/10/28 3:26:27 PM GMT+1","No","","No","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:32:08 PM GMT+1","No","","No","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:33:55 PM GMT+1","Sometimes","Large appliances with moving parts I would (ovens, dishwashers, washing machines etc) , small solid state electronics I wouldn't (TV, Radio, smart speakers etc)","Yes","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:34:25 PM GMT+1","Sometimes","Know reliability issue","No","Yes","Websites;Youtube/Online Video;Book;ask friend","Computer / laptop","Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:34:40 PM GMT+1","Sometimes","replaceable batteries","Yes","Maybe","Websites;Youtube/Online Video;Book","Television;Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:34:44 PM GMT+1","Sometimes","I like to fix stuff to prolong its working life.","Maybe","Yes","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
"2019/10/28 3:34:47 PM GMT+1","No","","No","Yes","Websites","Mobile phone / tablet;Computer / laptop","Design choices by the manufacturer;Lack of access to appropriate tools;Lack of skill","Yes","Yes"
"2019/10/28 3:35:55 PM GMT+1","No","","Yes","Maybe","Websites;Youtube/Online Video","Television;Mobile phone / tablet;Computer / laptop;Game console","Design choices by the manufacturer;Issues with sourcing replacement parts","Maybe","Yes"
"2019/10/28 3:39:00 PM GMT+1","No","","Maybe","Maybe","Websites;Youtube/Online Video","Mobile phone / tablet;Computer / laptop","Lack of access to appropriate tools;Issues with sourcing replacement parts","Yes","Yes"
